,gender,age,income,user_id,signup_date,signup_year,age_group,income_group,amount,spend_group
0,F,55,112000,1,2017-07-15,2017,3,5,77.01,5
1,F,75,100000,2,2017-05-09,2017,5,5,159.27,8
2,M,68,70000,3,2018-04-26,2018,4,3,57.730000000000004,4
3,M,65,53000,4,2018-02-09,2018,4,2,36.43,3
4,M,58,51000,5,2017-11-11,2017,3,2,15.62,2
5,F,61,57000,6,2017-09-11,2017,4,2,85.55,5
6,M,26,46000,7,2014-02-13,2014,1,2,56.22,4
7,F,62,71000,8,2016-02-11,2016,4,4,160.25,8
8,M,49,52000,9,2014-11-13,2014,2,2,144.10999999999999,7
9,M,57,42000,10,2017-12-31,2017,3,1,19.1,2
10,F,61,40000,11,2018-05-01,2018,4,1,20.78,2
11,F,40,71000,12,2016-05-04,2016,2,4,300.68,10
12,M,64,100000,13,2017-09-09,2017,4,5,211.29000000000002,9
13,F,78,71000,14,2017-06-16,2017,5,4,155.46,8
14,M,42,69000,15,2013-08-11,2013,2,3,91.4,6
15,F,56,88000,16,2018-04-28,2018,3,5,75.62,5
16,F,33,52000,17,2017-09-26,2017,1,2,17.9,2
17,F,46,59000,18,2017-09-11,2017,2,3,2.88,1
18,M,59,41000,19,2015-01-21,2015,3,1,52.08,4
19,M,67,96000,20,2014-08-23,2014,4,5,206.88,9
20,O,53,52000,21,2017-09-16,2017,3,2,18.740000000000002,2
21,M,22,70000,22,2017-09-25,2017,1,3,106.38,6
22,F,96,89000,23,2017-11-17,2017,5,5,81.92,5
23,M,40,33000,24,2016-07-09,2016,2,1,40.94,4
24,F,69,57000,25,2016-08-14,2016,4,2,213.49,9
25,M,56,68000,26,2014-05-11,2014,3,3,167.67000000000002,8
26,F,26,63000,27,2017-08-12,2017,1,3,73.38,5
27,M,75,40000,28,2015-11-12,2015,5,1,155.53,8
28,F,20,30000,29,2016-07-11,2016,1,1,29.89,3
29,M,45,33000,30,2018-07-07,2018,2,1,61.25,4
30,M,61,98000,31,2017-11-21,2017,4,5,234.43,9
31,F,69,37000,32,2013-09-18,2013,4,1,32.72,3
32,F,54,80000,33,2017-02-07,2017,3,4,249.4,10
33,M,39,51000,34,2014-05-27,2014,1,2,51.91,4
34,F,41,41000,35,2015-09-21,2015,2,1,62.510000000000005,5
35,F,79,48000,36,2015-04-15,2015,5,2,152.0,8
36,F,66,38000,37,2018-04-08,2018,4,1,56.08,4
37,F,56,52000,38,2017-06-26,2017,3,2,87.11,6
38,F,39,56000,39,2014-07-23,2014,1,2,150.23000000000002,8
39,M,42,96000,40,2016-01-17,2016,2,5,320.48,10
40,F,78,93000,41,2016-10-09,2016,5,5,225.54999999999998,9
41,M,45,48000,42,2017-10-06,2017,2,2,17.0,2
42,M,29,50000,43,2016-04-30,2016,1,2,38.17,3
43,M,44,35000,44,2017-09-24,2017,2,1,150.23,8
44,M,63,56000,45,2018-07-13,2018,4,2,121.62,7
45,M,36,56000,46,2017-12-28,2017,1,2,118.85000000000001,7
46,F,76,47000,47,2018-03-14,2018,5,2,22.65,2
47,M,68,87000,48,2017-08-23,2017,4,5,177.18,8
48,M,75,52000,49,2015-11-29,2015,5,2,135.54,7
49,M,67,76000,50,2017-02-26,2017,4,4,200.78,9
50,M,77,51000,51,2016-07-30,2016,5,2,23.81,3
51,M,76,64000,52,2014-08-31,2014,5,3,110.92,6
52,M,57,98000,53,2018-02-07,2018,3,5,27.24,3
53,F,53,72000,54,2016-07-06,2016,3,4,167.88,8
54,F,53,117000,55,2016-12-31,2016,3,5,303.2,10
55,F,53,55000,56,2017-10-26,2017,3,2,20.18,2
56,F,61,112000,57,2017-11-10,2017,4,5,67.25,5
57,F,67,77000,58,2016-09-10,2016,4,4,155.73,8
58,F,58,85000,59,2018-01-25,2018,3,4,290.42,10
59,F,46,36000,60,2018-06-29,2018,2,1,17.13,2
60,M,30,41000,61,2017-12-02,2017,1,1,11.95,1
61,M,59,89000,62,2017-08-20,2017,3,5,45.400000000000006,4
62,M,51,41000,63,2015-12-31,2015,2,1,75.96000000000001,5
63,M,27,35000,64,2018-01-10,2018,1,1,29.56,3
64,M,40,53000,65,2018-02-27,2018,2,2,8.17,1
65,F,73,91000,66,2018-04-19,2018,5,5,109.16,6
66,F,74,107000,67,2015-12-24,2015,5,5,298.3,10
67,M,42,66000,68,2015-11-21,2015,2,3,136.94,7
68,M,78,58000,69,2015-11-11,2015,5,3,126.94,7
69,F,54,53000,70,2016-12-25,2016,3,2,57.03,4
70,F,70,74000,71,2018-06-13,2018,5,4,0.0,1
71,F,49,57000,72,2017-04-08,2017,2,2,184.78,9
72,F,62,57000,73,2018-04-10,2018,4,2,0.0,1
73,M,64,70000,74,2017-03-05,2017,4,3,140.34,7
74,F,89,87000,75,2017-11-14,2017,5,5,248.63,10
75,M,73,51000,76,2018-04-01,2018,5,2,23.43,2
76,F,50,93000,77,2017-05-06,2017,2,5,297.29,10
77,F,90,98000,78,2015-12-10,2015,5,5,80.03,5
78,F,68,84000,79,2016-07-31,2016,4,4,34.04,3
79,M,60,64000,80,2017-02-06,2017,4,3,44.14,4
80,M,45,54000,81,2017-08-15,2017,2,2,11.51,1
81,M,66,49000,82,2016-01-24,2016,4,2,200.93,9
82,F,19,73000,83,2016-10-15,2016,1,4,202.75,9
83,F,66,58000,84,2018-02-16,2018,4,3,163.53,8
84,F,72,72000,85,2016-08-11,2016,5,4,201.92,9
85,M,76,63000,86,2016-04-07,2016,5,3,224.76,9
86,M,52,78000,87,2017-05-15,2017,3,4,117.92,7
87,M,55,31000,88,2017-12-10,2017,3,1,30.729999999999997,3
88,F,39,60000,89,2017-09-19,2017,1,3,705.5,10
89,F,45,44000,90,2016-01-26,2016,2,1,163.71,8
90,F,57,114000,91,2017-07-04,2017,3,5,184.82,9
91,M,74,48000,92,2018-07-12,2018,5,2,6.86,1
92,M,18,47000,93,2016-07-27,2016,1,2,275.61,10
93,M,53,96000,94,2017-09-27,2017,3,5,138.84,7
94,F,59,98000,95,2017-09-10,2017,3,5,112.03999999999999,6
95,M,57,46000,96,2014-11-04,2014,3,2,34.22,3
96,F,51,56000,97,2017-08-13,2017,2,2,40.94,4
97,F,64,37000,98,2017-10-20,2017,4,1,51.37,4
98,M,71,57000,99,2017-01-29,2017,5,2,30.14,3
99,F,64,66000,100,2017-04-21,2017,4,3,50.349999999999994,4
100,M,83,46000,101,2018-01-27,2018,5,2,16.77,2
101,M,26,71000,102,2017-12-11,2017,1,4,13.799999999999999,2
